batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
Gujarat Titans,Rajasthan Royals,Ahmedabad,131.0,125.0,9,131.0,-0.0,6.29,1
Gujarat Titans,Rajasthan Royals,Ahmedabad,131.0,124.0,8,131.0,-0.0,6.34,1
Gujarat Titans,Rajasthan Royals,Ahmedabad,126.0,119.0,3,131.0,30.0,6.35,1
Gujarat Titans,Rajasthan Royals,Ahmedabad,122.0,118.0,2,131.0,27.0,6.2,1
Gujarat Titans,Rajasthan Royals,Ahmedabad,122.0,117.0,1,131.0,18.0,6.26,1
Gujarat Titans,Rajasthan Royals,Ahmedabad,122.0,116.0,0,131.0,13.5,6.31,1
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158.0,125.0,9,158.0,-0.0,7.58,1
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158.0,124.0,8,158.0,-0.0,7.65,1
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,142.0,119.0,3,158.0,96.0,7.16,1
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138.0,118.0,2,158.0,60.0,7.02,1
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138.0,117.0,1,158.0,40.0,7.08,1
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138.0,116.0,0,158.0,30.0,7.14,1
Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208.0,125.0,9,208.0,-0.0,9.98,0
Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208.0,124.0,8,208.0,-0.0,10.06,0
Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,200.0,119.0,3,208.0,48.0,10.08,0
Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,197.0,118.0,2,208.0,33.0,10.02,0
Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196.0,117.0,1,208.0,24.0,10.05,0
Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196.0,116.0,0,208.0,18.0,10.14,0
Gujarat Titans,Rajasthan Royals,Kolkata,189.0,125.0,9,189.0,-0.0,9.07,1
Gujarat Titans,Rajasthan Royals,Kolkata,189.0,124.0,8,189.0,-0.0,9.15,1
Gujarat Titans,Rajasthan Royals,Kolkata,189.0,123.0,7,189.0,-0.0,9.22,1
Gujarat Titans,Rajasthan Royals,Kolkata,185.0,119.0,3,189.0,24.0,9.33,1
Gujarat Titans,Rajasthan Royals,Kolkata,181.0,118.0,2,189.0,24.0,9.2,1
Gujarat Titans,Rajasthan Royals,Kolkata,180.0,117.0,1,189.0,18.0,9.23,1
Gujarat Titans,Rajasthan Royals,Kolkata,180.0,116.0,0,189.0,13.5,9.31,1
Punjab Kings,Sunrisers Hyderabad,Mumbai,158.0,125.0,9,158.0,-0.0,7.58,1
Punjab Kings,Sunrisers Hyderabad,Mumbai,145.0,119.0,3,158.0,78.0,7.31,1
Punjab Kings,Sunrisers Hyderabad,Mumbai,141.0,118.0,2,158.0,51.0,7.17,1
Punjab Kings,Sunrisers Hyderabad,Mumbai,141.0,117.0,1,158.0,34.0,7.23,1
Punjab Kings,Sunrisers Hyderabad,Mumbai,137.0,116.0,0,158.0,31.5,7.09,1
Mumbai Indians,Delhi Capitals,Mumbai,160.0,125.0,9,160.0,-0.0,7.68,1
Mumbai Indians,Delhi Capitals,Mumbai,160.0,124.0,8,160.0,-0.0,7.74,1
Mumbai Indians,Delhi Capitals,Mumbai,160.0,123.0,7,160.0,-0.0,7.8,1
Mumbai Indians,Delhi Capitals,Mumbai,155.0,119.0,3,160.0,30.0,7.82,1
Mumbai Indians,Delhi Capitals,Mumbai,155.0,118.0,2,160.0,15.0,7.88,1
Mumbai Indians,Delhi Capitals,Mumbai,151.0,117.0,1,160.0,18.0,7.74,1
